mision, action, DateTime, org:resource, randomSeed 
mision 7,T_0_busy,2023-09-13 00:03:21,3,22
mision 7,T_1_busy,2023-09-13 00:03:21,0,22
mision 7,T_0_done,2023-09-13 00:03:26,3,22
mision 7,T_1_done,2023-09-13 00:03:26,0,22
mision 8,T_0_Busy,2023-09-13 00:02:20,3,64
mision 8,T_0_Done,2023-09-13 00:02:25,3,64
mision 8,T_1_Busy,2023-09-13 00:02:31,4,64
mision 8,T_1_Done,2023-09-13 00:02:36,4,64
mision 8,T_2_ocupied,2023-09-13 00:02:43,1,64
mision 8,T_2_waiting,2023-09-13 00:02:43,1,64
mision 8,T_3_ocupied,2023-09-13 00:03:02,2,64
mision 8,T_3_waiting,2023-09-13 00:03:02,2,64
mision 8,T_2_busy,2023-09-13 00:03:02,1,64
mision 8,T_3_busy,2023-09-13 00:03:02,2,64
mision 8,T_2_done,2023-09-13 00:03:06,1,64
mision 8,T_3_done,2023-09-13 00:03:06,2,64
mision 8,T_4_Busy,2023-09-13 00:03:26,4,64
mision 8,T_4_Done,2023-09-13 00:03:31,4,64
mision 8,T_5_Busy,2023-09-13 00:03:39,2,64
mision 8,T_5_Done,2023-09-13 00:03:44,2,64
mision 8,T_0_ocupied,2023-09-13 00:03:58,5,64
mision 8,T_0_waiting,2023-09-13 00:03:58,5,64
mision 8,T_1_ocupied,2023-09-13 00:04:03,2,64
mision 8,T_1_waiting,2023-09-13 00:04:03,2,64
mision 8,T_0_busy,2023-09-13 00:04:03,5,64
mision 8,T_1_busy,2023-09-13 00:04:03,2,64
mision 8,T_0_done,2023-09-13 00:04:08,5,64
mision 8,T_1_done,2023-09-13 00:04:08,2,64
mision 9,T_0_Busy,2023-09-13 00:02:31,5,68
mision 9,T_0_Done,2023-09-13 00:02:36,5,68
mision 9,T_1_Busy,2023-09-13 00:03:03,3,68
mision 9,T_1_Done,2023-09-13 00:03:08,3,68
mision 9,T_2_ocupied,2023-09-13 00:03:14,5,68
mision 9,T_2_waiting,2023-09-13 00:03:14,5,68
