mision;activity;time;robot
mision 9;T_2waiting;2023-09-07 21:28:21;4
mision 9;T_3ocupied;2023-09-07 21:28:23;2
mision 9;T_3waiting;2023-09-07 21:28:23;2
mision 9;T_2done;2023-09-07 21:28:28;0
mision 9;T_3done;2023-09-07 21:28:28;0
mision 9;T_4Busy;2023-09-07 21:28:37;5
mision 9;T_4Done;2023-09-07 21:28:42;5
mision 9;T_5Busy;2023-09-07 21:28:55;5
mision 9;T_5Done;2023-09-07 21:29:00;5
mision 9;T_1ocupied;2023-09-07 21:29:09;0
mision 9;T_1waiting;2023-09-07 21:29:09;0
mision 9;T_0ocupied;2023-09-07 21:30:01;2
mision 9;T_0waiting;2023-09-07 21:30:01;2
mision 9;T_0done;2023-09-07 21:30:06;0
mision 9;T_1done;2023-09-07 21:30:06;0
mision 10;T_0Busy;2023-09-07 21:27:38;4
mision 10;T_0Done;2023-09-07 21:27:43;4
mision 10;T_1Busy;2023-09-07 21:27:45;2
mision 10;T_1Done;2023-09-07 21:27:50;2
mision 10;T_3ocupied;2023-09-07 21:28:04;1
mision 10;T_3waiting;2023-09-07 21:28:04;1
mision 10;T_2ocupied;2023-09-07 21:28:09;5
mision 10;T_2waiting;2023-09-07 21:28:09;5
mision 10;T_2done;2023-09-07 21:28:13;0
mision 10;T_3done;2023-09-07 21:28:13;0
mision 10;T_4Busy;2023-09-07 21:28:52;5
mision 10;T_4Done;2023-09-07 21:28:57;5
mision 10;T_5Busy;2023-09-07 21:29:19;5
mision 10;T_5Done;2023-09-07 21:29:24;5
mision 10;T_0ocupied;2023-09-07 21:29:31;0
mision 10;T_0waiting;2023-09-07 21:29:31;0
mision 10;T_1ocupied;2023-09-07 21:29:37;3
mision 10;T_1waiting;2023-09-07 21:29:37;3
mision 10;T_0done;2023-09-07 21:29:42;0
mision 10;T_1done;2023-09-07 21:29:42;0
mision 11;T_0Busy;2023-09-07 22:11:11;3
mision 11;T_0Done;2023-09-07 22:11:16;3
mision 11;T_1Busy;2023-09-07 22:11:27;3
mision 11;T_1Done;2023-09-07 22:11:31;3
mision 11;T_3ocupied;2023-09-07 22:11:42;1
mision 11;T_3waiting;2023-09-07 22:11:42;1
mision 11;T_2ocupied;2023-09-07 22:11:45;2
mision 11;T_2waiting;2023-09-07 22:11:45;2
mision 11;T_2done;2023-09-07 22:11:50;0
mision 11;T_3done;2023-09-07 22:11:50;0
mision 11;T_4Busy;2023-09-07 22:13:37;3
mision 11;T_4Done;2023-09-07 22:13:41;3
mision 11;T_5Busy;2023-09-07 22:13:51;1
mision 11;T_5Done;2023-09-07 22:13:55;1
mision 11;T_1ocupied;2023-09-07 22:14:13;1
mision 11;T_1waiting;2023-09-07 22:14:13;1
mision 11;T_0ocupied;2023-09-07 22:14:26;0
mision 11;T_0waiting;2023-09-07 22:14:26;0
mision 11;T_0done;2023-09-07 22:14:31;0
mision 11;T_1done;2023-09-07 22:14:31;0
mision 12;T_0Busy;2023-09-07 21:28:47;3
mision 12;T_0Done;2023-09-07 21:28:52;3
mision 12;T_1Busy;2023-09-07 21:28:55;5
mision 12;T_1Done;2023-09-07 21:29:00;5
mision 12;T_2ocupied;2023-09-07 21:29:14;1
mision 12;T_2waiting;2023-09-07 21:29:14;1
mision 12;T_3ocupied;2023-09-07 21:29:25;5
mision 12;T_3waiting;2023-09-07 21:29:25;5
mision 12;T_2done;2023-09-07 21:29:30;0
mision 12;T_3done;2023-09-07 21:29:30;0
mision 12;T_4Busy;2023-09-07 21:30:26;3
mision 12;T_4Done;2023-09-07 21:30:31;3
mision 12;T_5Busy;2023-09-07 21:30:53;5
mision 12;T_5Done;2023-09-07 21:30:58;5
mision 12;T_0ocupied;2023-09-07 21:31:13;1
mision 12;T_0waiting;2023-09-07 21:31:13;1
mision 12;T_1ocupied;2023-09-07 21:31:19;2
mision 12;T_1waiting;2023-09-07 21:31:19;2
mision 12;T_0done;2023-09-07 21:31:24;0
mision 12;T_1done;2023-09-07 21:31:24;0
mision 13;T_0Busy;2023-09-07 21:27:46;5
mision 13;T_0Done;2023-09-07 21:27:51;5
mision 13;T_1Busy;2023-09-07 21:28:04;0
mision 13;T_1Done;2023-09-07 21:28:09;0
mision 13;T_3ocupied;2023-09-07 21:28:17;3
mision 13;T_3waiting;2023-09-07 21:28:17;3
mision 13;T_2ocupied;2023-09-07 21:28:31;1
mision 13;T_2waiting;2023-09-07 21:28:31;1
mision 13;T_2done;2023-09-07 21:28:36;0
mision 13;T_3done;2023-09-07 21:28:36;0
mision 13;T_4Busy;2023-09-07 21:29:20;2
mision 13;T_4Done;2023-09-07 21:29:25;2
mision 13;T_5Busy;2023-09-07 21:29:33;1
mision 13;T_5Done;2023-09-07 21:29:38;1
mision 13;T_1ocupied;2023-09-07 21:29:49;5
mision 13;T_1waiting;2023-09-07 21:29:49;5
mision 13;T_0ocupied;2023-09-07 21:30:28;2
mision 13;T_0waiting;2023-09-07 21:30:28;2
mision 13;T_0done;2023-09-07 21:30:33;0
mision 13;T_1done;2023-09-07 21:30:33;0
mision 14;T_0Busy;2023-09-07 21:27:15;2
mision 14;T_0Done;2023-09-07 21:27:19;2
mision 14;T_1Busy;2023-09-07 21:27:22;4
mision 14;T_1Done;2023-09-07 21:27:27;4
mision 14;T_3ocupied;2023-09-07 21:27:35;3
mision 14;T_3waiting;2023-09-07 21:27:35;3
mision 14;T_2ocupied;2023-09-07 21:28:01;4
mision 14;T_2waiting;2023-09-07 21:28:01;4
mision 14;T_2done;2023-09-07 21:28:06;0
mision 14;T_3done;2023-09-07 21:28:06;0
mision 14;T_4Busy;2023-09-07 21:29:10;5
mision 14;T_4Done;2023-09-07 21:29:15;5
mision 14;T_5Busy;2023-09-07 21:29:40;0
mision 14;T_5Done;2023-09-07 21:29:45;0
mision 14;T_1ocupied;2023-09-07 21:29:53;1
mision 14;T_1waiting;2023-09-07 21:29:53;1
mision 14;T_0ocupied;2023-09-07 21:29:58;4
mision 14;T_0waiting;2023-09-07 21:29:58;4
mision 14;T_0done;2023-09-07 21:30:03;0
mision 14;T_1done;2023-09-07 21:30:03;0
mision 15;T_0Busy;2023-09-07 22:10:56;0
mision 15;T_0Done;2023-09-07 22:11:01;0
mision 15;T_1Busy;2023-09-07 22:11:03;1
mision 15;T_1Done;2023-09-07 22:11:08;1
mision 15;T_3ocupied;2023-09-07 22:11:15;2
mision 15;T_3waiting;2023-09-07 22:11:15;2
mision 16;T_0Busy;2023-09-07 22:11:27;3
mision 16;T_0Done;2023-09-07 22:11:32;3
mision 16;T_1Busy;2023-09-07 22:12:08;2
mision 16;T_1Done;2023-09-07 22:12:13;2
mision 16;T_2ocupied;2023-09-07 22:12:17;3
mision 16;T_2waiting;2023-09-07 22:12:17;3
mision 16;T_3ocupied;2023-09-07 22:12:41;0
mision 16;T_3waiting;2023-09-07 22:12:41;0
mision 16;T_2done;2023-09-07 22:12:46;0
mision 16;T_3done;2023-09-07 22:12:46;0
mision 16;T_4Busy;2023-09-07 22:13:14;1
