mision;activity;time;robot
mision 18;TH_task4;2023-08-25 15:36:59;4
mision 19;TB_enter;2023-08-25 15:33:02;3
mision 19;TA_enter;2023-08-25 15:33:06;2
mision 19;TB_task2;2023-08-25 15:33:07;3
mision 19;TA_task1;2023-08-25 15:33:11;2
mision 19;TA_task3;2023-08-25 15:33:12;5
mision 19;TB_task3;2023-08-25 15:33:12;5
mision 19;TD_enter;2023-08-25 15:33:23;0
mision 19;TD_task2;2023-08-25 15:33:28;0
mision 19;TC_enter;2023-08-25 15:33:32;5
mision 19;TC_task1;2023-08-25 15:33:37;5
mision 19;TC_task3;2023-08-25 15:33:38;2
mision 19;TD_task3;2023-08-25 15:33:38;2
mision 19;TF_enter;2023-08-25 15:34:00;2
mision 19;TF_task2;2023-08-25 15:34:05;2
mision 19;TE_enter;2023-08-25 15:34:11;1
mision 19;TE_task1;2023-08-25 15:34:16;1
mision 19;TE_task3;2023-08-25 15:34:17;4
mision 19;TF_task3;2023-08-25 15:34:17;4
mision 19;TG_enter;2023-08-25 15:34:38;4
mision 19;TH_enter;2023-08-25 15:34:41;5
mision 19;TG_task1;2023-08-25 15:34:42;4
mision 19;TH_task2;2023-08-25 15:34:46;5
mision 19;TG_task3;2023-08-25 15:34:47;2
mision 19;TH_task3;2023-08-25 15:34:47;2
mision 19;TG_task4;2023-08-25 15:34:47;5
mision 19;TH_task4;2023-08-25 15:34:47;5
mision 20;TB_enter;2023-08-25 15:33:34;0
mision 20;TB_task2;2023-08-25 15:33:39;0
mision 20;TA_enter;2023-08-25 15:33:46;5
mision 20;TA_task1;2023-08-25 15:33:51;5
mision 20;TA_task3;2023-08-25 15:33:52;2
mision 20;TB_task3;2023-08-25 15:33:52;2
mision 20;TC_enter;2023-08-25 15:34:05;1
mision 20;TC_task1;2023-08-25 15:34:10;1
mision 20;TD_enter;2023-08-25 15:34:48;3
mision 20;TD_task2;2023-08-25 15:34:53;3
mision 20;TC_task3;2023-08-25 15:34:55;0
mision 20;TD_task3;2023-08-25 15:34:55;0
mision 20;TF_enter;2023-08-25 15:35:09;4
mision 20;TF_task2;2023-08-25 15:35:14;4
mision 20;TE_enter;2023-08-25 15:35:56;2
mision 20;TE_task1;2023-08-25 15:36:00;2
mision 20;TE_task3;2023-08-25 15:36:02;5
mision 20;TF_task3;2023-08-25 15:36:02;5
mision 20;TG_enter;2023-08-25 15:36:14;0
mision 20;TH_enter;2023-08-25 15:36:16;5
mision 20;TG_task1;2023-08-25 15:36:19;0
mision 20;TH_task2;2023-08-25 15:36:20;5
mision 20;TG_task3;2023-08-25 15:36:22;2
mision 20;TH_task3;2023-08-25 15:36:22;2
mision 20;TG_task4;2023-08-25 15:36:22;5
mision 20;TH_task4;2023-08-25 15:36:22;5
mision 21;TB_enter;2023-08-25 15:32:27;0
mision 21;TB_task2;2023-08-25 15:32:32;0
mision 21;TA_enter;2023-08-25 15:32:36;1
mision 21;TA_task1;2023-08-25 15:32:41;1
mision 21;TA_task3;2023-08-25 15:32:42;4
mision 21;TB_task3;2023-08-25 15:32:42;4
mision 21;TD_enter;2023-08-25 15:32:56;5
mision 21;TD_task2;2023-08-25 15:33:01;5
mision 21;TC_enter;2023-08-25 15:33:27;3
mision 21;TC_task1;2023-08-25 15:33:32;3
mision 21;TC_task3;2023-08-25 15:33:34;0
mision 21;TD_task3;2023-08-25 15:33:34;0
mision 21;TE_enter;2023-08-25 15:33:55;0
mision 21;TE_task1;2023-08-25 15:34:00;0
mision 21;TF_enter;2023-08-25 15:34:14;2
mision 21;TF_task2;2023-08-25 15:34:18;2
mision 21;TE_task3;2023-08-25 15:34:20;5
mision 21;TF_task3;2023-08-25 15:34:20;5
mision 21;TG_enter;2023-08-25 15:34:27;1
mision 21;TG_task1;2023-08-25 15:34:32;1
mision 21;TH_enter;2023-08-25 15:34:35;4
mision 21;TH_task2;2023-08-25 15:34:40;4
mision 21;TG_task3;2023-08-25 15:34:41;1
mision 21;TH_task3;2023-08-25 15:34:41;1
mision 21;TG_task4;2023-08-25 15:34:42;4
mision 21;TH_task4;2023-08-25 15:34:42;4
mision 22;TB_enter;2023-08-25 15:32:19;5
mision 22;TA_enter;2023-08-25 15:32:19;4
mision 22;TB_task2;2023-08-25 15:32:23;5
mision 22;TA_task1;2023-08-25 15:32:24;4
mision 22;TA_task3;2023-08-25 15:32:26;1
mision 22;TB_task3;2023-08-25 15:32:26;1
mision 22;TC_enter;2023-08-25 15:32:37;0
mision 22;TC_task1;2023-08-25 15:32:42;0
mision 22;TD_enter;2023-08-25 15:33:29;3
mision 22;TD_task2;2023-08-25 15:33:34;3
mision 22;TC_task3;2023-08-25 15:33:36;0
mision 22;TD_task3;2023-08-25 15:33:36;0
mision 22;TF_enter;2023-08-25 15:33:56;5
mision 22;TF_task2;2023-08-25 15:34:01;5
mision 22;TE_enter;2023-08-25 15:35:32;1
mision 22;TE_task1;2023-08-25 15:35:37;1
mision 22;TE_task3;2023-08-25 15:35:38;4
mision 22;TF_task3;2023-08-25 15:35:38;4
mision 22;TG_enter;2023-08-25 15:35:53;3
mision 22;TG_task1;2023-08-25 15:35:58;3
mision 22;TH_enter;2023-08-25 15:36:02;2
mision 22;TH_task2;2023-08-25 15:36:07;2
mision 22;TG_task3;2023-08-25 15:36:09;5
mision 22;TH_task3;2023-08-25 15:36:09;5
mision 22;TG_task4;2023-08-25 15:36:09;2
mision 22;TH_task4;2023-08-25 15:36:09;2
mision 23;TB_enter;2023-08-25 15:32:29;3
mision 23;TB_task2;2023-08-25 15:32:34;3
mision 23;TA_enter;2023-08-25 15:32:43;0
mision 23;TA_task1;2023-08-25 15:32:48;0
mision 23;TA_task3;2023-08-25 15:32:50;3
mision 23;TB_task3;2023-08-25 15:32:50;3
mision 23;TD_enter;2023-08-25 15:33:04;5
mision 23;TD_task2;2023-08-25 15:33:09;5
mision 23;TC_enter;2023-08-25 15:33:12;2
mision 23;TC_task1;2023-08-25 15:33:17;2
mision 23;TC_task3;2023-08-25 15:33:19;5
mision 23;TD_task3;2023-08-25 15:33:19;5
mision 23;TE_enter;2023-08-25 15:33:39;3
mision 23;TF_enter;2023-08-25 15:33:40;0
mision 23;TE_task1;2023-08-25 15:33:44;3
mision 23;TF_task2;2023-08-25 15:33:45;0
mision 23;TE_task3;2023-08-25 15:33:47;3
mision 23;TF_task3;2023-08-25 15:33:47;3
mision 23;TG_enter;2023-08-25 15:34:03;1
mision 23;TG_task1;2023-08-25 15:34:08;1
mision 23;TH_enter;2023-08-25 15:34:09;2
mision 23;TH_task2;2023-08-25 15:34:14;2
mision 23;TG_task3;2023-08-25 15:34:15;5
mision 23;TH_task3;2023-08-25 15:34:15;5
mision 23;TG_task4;2023-08-25 15:34:16;2
mision 23;TH_task4;2023-08-25 15:34:16;2
mision 24;TB_enter;2023-08-25 15:32:14;0
mision 24;TB_task2;2023-08-25 15:32:18;0
mision 24;TA_enter;2023-08-25 15:32:20;3
mision 24;TA_task1;2023-08-25 15:32:25;3
mision 24;TA_task3;2023-08-25 15:32:27;0
mision 24;TB_task3;2023-08-25 15:32:27;0
mision 24;TC_enter;2023-08-25 15:32:44;2
mision 24;TC_task1;2023-08-25 15:32:49;2
mision 24;TD_enter;2023-08-25 15:32:50;5
mision 24;TD_task2;2023-08-25 15:32:55;5
mision 24;TC_task3;2023-08-25 15:32:57;2
mision 24;TD_task3;2023-08-25 15:32:57;2
mision 24;TE_enter;2023-08-25 15:33:35;0
mision 24;TE_task1;2023-08-25 15:33:40;0
mision 24;TF_enter;2023-08-25 15:33:44;4
mision 24;TF_task2;2023-08-25 15:33:49;4
mision 24;TE_task3;2023-08-25 15:33:51;1
mision 24;TF_task3;2023-08-25 15:33:51;1
mision 24;TH_enter;2023-08-25 15:34:01;1
mision 24;TH_task2;2023-08-25 15:34:06;1
mision 24;TG_enter;2023-08-25 15:34:44;5
mision 24;TG_task1;2023-08-25 15:34:48;5
mision 24;TG_task3;2023-08-25 15:34:50;2
mision 24;TH_task3;2023-08-25 15:34:50;2
mision 24;TG_task4;2023-08-25 15:34:50;5
mision 24;TH_task4;2023-08-25 15:34:50;5
mision 25;TB_enter;2023-08-25 15:33:18;5
mision 25;TA_enter;2023-08-25 15:33:19;2
mision 25;TB_task2;2023-08-25 15:33:23;5
mision 25;TA_task1;2023-08-25 15:33:24;2
mision 25;TA_task3;2023-08-25 15:33:26;5
mision 25;TB_task3;2023-08-25 15:33:26;5
mision 25;TD_enter;2023-08-25 15:33:46;4
mision 25;TC_enter;2023-08-25 15:33:50;1
